Athlete,Country
Michael Phelps,United States
Natalie Coughlin,United States
Aleksey Nemov,Russia
Alicia Coutts,Australia
Missy Franklin,United States
Ryan Lochte,United States
Allison Schmitt,United States
Ian Thorpe,Australia
Dara Torres,United States
Cindy Klassen,Canada
Nastia Liukin,United States
Marit Bjõrgen,Norway
Sun Yang,China
Kirsty Coventry,Zimbabwe
Libby Lenton-Trickett,Australia
Inge de Bruijn,Netherlands
Petria Thomas,Australia
Gary Hall Jr.,United States
Michael Klim,Australia
Susie O'Neill,Australia
Jenny Thompson,United States
Pieter van den Hoogenband,Netherlands
An Hyeon-Su,South Korea
Aliya Mustafina,Russia
Shawn Johnson,United States
Dmitry Sautin,Russia
Leontien Zijlaard-van Moorsel,Netherlands
Petter Northug Jr.,Norway
Ole Einar Bjõrndalen,Norway
Janica Kostelic,Croatia
Nathan Adrian,United States
Yannick Agnel,France
Brittany Elmslie,Australia
Matt Grevers,United States
Ryosuke Irie,Japan
Cullen Jones,United States
Ranomi Kromowidjojo,Netherlands
Camille Muffat,France
Mel Schlanger,Australia
Emily Seebohm,Australia
Rebecca Soni,United States
Satomi Suzuki,Japan
Dana Vollmer,United States
Alain Bernard,France
L†szl¢ Cseh Jr.,Hungary
Margaret Hoelzer,United States
Katie Hoff,United States
Leisel Jones,Australia
Kosuke Kitajima,Japan
Andrew Lauterstein,Australia
Jason Lezak,United States
Pang Jiaying,China
Aaron Peirsol,United States
Steph Rice,Australia
Jess Schipper,Australia
Eamon Sullivan,Australia
Amanda Beard,United States
Antje Buschschulte,Germany
Ian Crocker,United States
Grant Hackett,Australia
Brendan Hansen,United States
Jodie Henry,Australia
Otylia Jedrzejczak,Poland
Laure Manaudou,France
Kaitlin Sandeno,United States
Roland Schoeman,South Africa
Therese Alshammar,Sweden
Yana Klochkova,Ukraine
Lenny Krayzelburg,United States
Massimiliano Rosolino,Italy
Matt Welsh,Australia
Lee Jeong-Su,South Korea
Apolo Anton Ohno,United States
Wang Meng,China
Jin Seon-Yu,South Korea
Lee Ho-Seok,South Korea
Marc Gagnon,Canada
Yang Yang (A),China
Stephanie Beckert,Germany
Martina S†bl°kov†,Czech Republic
Enrico Fabris,Italy
Chad Hedrick,United States
Jochem Uytdehaage,Netherlands
Sabine Vîlker,Germany
Gregor Schlierenzauer,Austria
Lars Bystõl,Norway
Johnny Spillane,United States
Felix Gottwald,Austria
Georg Hettich,Germany
Samppa Lajunen,Finland
Aly Raisman,United States
Kohei Uchimura,Japan
Zou Kai,China
Cheng Fei,China
Yang Wei,China
Yang Yilin,China
Marian Dragulescu,Romania
Paul Hamm,United States
Carly Patterson,United States
Catalina Ponor,Romania
Simona AmÉnar,Romania
Svetlana Khorkina,Russia
Yekaterina Lobaznyuk,Russia
Yelena Zamolodchikova,Russia
Guo Shuang,China
Chris Hoy,Great Britain
Bradley Wiggins,Great Britain
Florian Rousseau,France
Justyna Kowalczyk,Poland
Johan Olsson,Sweden
Stefania Belmondo,Italy
Yuliya Chepalova,Russia
Frode Estil,Norway
Bente Skari-Martinsen,Norway
Magdalena Neuner,Germany
Emil Hegle Svendsen,Norway
Albina Akhatova,Russia
Sven Fischer,Germany
Martina Glagow-Beck,Germany
Michael Greis,Germany
Kati Wilhelm,Germany
Yohan Blake,Jamaica
Usain Bolt,Jamaica
Allyson Felix,United States
Shelly-Ann Fraser-Pryce,Jamaica
Carmelita Jeter,United States
Veronica Campbell-Brown,Jamaica
Justin Gatlin,United States
Bode Miller,United States
Aksel Lund Svindal,Norway
Anja PÑrson,Sweden
Stephan Eberharter,Austria
Ding Ning,China
Feng Tian Wei,Singapore
Li Xiaoxia,China
Dmitrij Ovtcharov,Germany
Wang Hao,China
Zhang Jike,China
Guo Yue,China
Ma Lin,China
Wang Liqin,China
Wang Nan,China
Zhang Yining,China
Kong Linghui,China
Li Ju,China
Liu Guoliang,China
Viktoriya Azarenko,Belarus
Mike Bryan,United States
Andy Murray,Great Britain
Serena Williams,United States
Fernando Gonz†lez,Chile
Nicol†s Mass£,Chile
Venus Williams,United States
Ona Carbonell,Spain
Andrea Fuentes,Spain
Huang Xuechen,China
Nataliya Ishchenko,Russia
Liu Ou,China
Svetlana Romashina,Russia
Anastasiya Davydova,Russia
Gemma Mengual,Spain
Anastasiya Yermakova,Russia
Alison Bartosik,United States
Anna Kozlova,United States
Miya Tachibana,Japan
Miho Takeda,Japan
Olga Brusnikina,Russia
Mariya Kiselyova,Russia
Becky Adlington,Great Britain
Bronte Barratt,Australia
Elizabeth Beisel,United States
Mireia Belmonte,Spain
Ricky Berens,United States
Aleksandra Gerasimenya,Belarus
Jessica Hardy,United States
Chad le Clos,South Africa
ClÇment Lefert,France
Amaury Leveaux,France
James Magnussen,Australia
Takeshi Matsuda,Japan
